minute,outside_temp_c,outside_rh,outside_reference_wind_speed_m_s,outside_local_wind_speed_m_s,outside_wind_direction_deg,outside_co2_ppm,outside_direct_radiation_w_m2,outside_diffuse_radiation_w_m2,inside_temp_c,inside_rh,total_airflow_m3_s,average_airflow_m3_s,heater_gain_w,envelope_loss_w,ventilation_loss_w,damper_power_w,fan_power_w,heater_power_w,damper_resource_rate_per_hour,fan_resource_rate_per_hour,heater_resource_rate_per_hour
0,-10,0.8,4,3.48633,270,420,150,50,15,0.6,0.0214902,0.0214902,35000,-9564,-692.855,0,0,35000,0,0,35
1,-10,0.8,4,3.48633,270,420,150,50,16.4821,0.545332,0.0221972,0.0218437,35000,-10131,-756.222,0,0,35000,0,0,35
2,-10,0.8,4,3.48633,270,420,150,50,17.9396,0.496934,0.0228676,0.022185,35000,-10688.6,-819.981,0,0,35000,0,0,35
3,-10,0.8,4,3.48633,270,420,150,50,19.3726,0.45398,0.0235049,0.022515,35000,-11236.8,-883.998,0,0,35000,0,0,35
4,-10,0.8,4,3.48633,270,420,150,50,20.7811,0.415761,0.0241117,0.0228343,35000,-11775.6,-948.15,0,0,35000,0,0,35
5,-10,0.8,4,3.48633,270,420,150,50,22.1651,0.381675,0.0246907,0.0231437,35000,-12305.1,-1012.33,0,0,35000,0,0,35
6,-10,0.8,4,3.48633,270,420,150,50,23.5248,0.351201,0.0252438,0.0234437,35000,-12825.2,-1076.43,0,0,35000,0,0,35
7,-10,0.8,4,3.48633,270,420,150,50,24.8602,0.323896,0.025773,0.0237349,35000,-13336.1,-1140.36,0,0,35000,0,0,35
8,-10,0.8,4,3.48633,270,420,150,50,26.1714,0.299374,0.0262798,0.0240177,35000,-13837.7,-1204.04,0,0,35000,0,0,35
9,-10,0.8,4,3.48633,270,420,150,50,27.4586,0.277304,0.0267658,0.0242925,35000,-14330.2,-1267.41,0,0,35000,0,0,35
10,-10,0.8,4,3.48633,270,420,150,50,28.7219,0.257399,0.0272323,0.0245597,35000,-14813.5,-1330.38,0,0,35000,0,0,35
11,-10,0.8,4,3.48633,270,420,150,50,29.9615,0.23941,0.0276803,0.0248198,35000,-15287.7,-1392.9,0,0,35000,0,0,35
12,-10,0.8,4,3.48633,270,420,150,50,31.1774,0.223118,0.0281111,0.025073,35000,-15752.8,-1454.91,0,0,35000,0,0,35
13,-10,0.8,4,3.48633,270,420,150,50,32.37,0.208336,0.0285255,0.0253196,35000,-16209.1,-1516.37,0,0,35000,0,0,35
14,-10,0.8,4,3.48633,270,420,150,50,33.5394,0.194898,0.0289244,0.0255599,35000,-16656.4,-1577.22,0,0,35000,0,0,35
15,-10,0.8,4,3.48633,270,420,150,50,34.6858,0.182658,0.0293087,0.0257942,35000,-17095,-1637.43,0,0,35000,0,0,35
16,-10,0.8,4,3.48633,270,420,150,50,35.8095,0.17149,0.029679,0.0260227,35000,-17524.9,-1696.97,0,0,35000,0,0,35
17,-10,0.8,4,3.48633,270,420,150,50,36.9106,0.161282,0.0300361,0.0262457,35000,-17946.1,-1755.8,0,0,35000,0,0,35
18,-10,0.8,4,3.48633,270,420,150,50,37.9894,0.151936,0.0303806,0.0264633,35000,-18358.8,-1813.88,0,0,35000,0,0,35
19,-10,0.8,4,3.48633,270,420,150,50,39.0461,0.143365,0.0307131,0.0266758,35000,-18763.1,-1871.21,0,0,35000,0,0,35
20,-10,0.8,4,3.48633,270,420,150,50,40.0811,0.13549,0.0310341,0.0268833,35000,-19159,-1927.74,0,0,35000,0,0,35
21,-10,0.8,4,3.48633,270,420,150,50,41.0945,0.128246,0.0313441,0.0270861,35000,-19546.7,-1983.48,0,0,35000,0,0,35
22,-10,0.8,4,3.48633,270,420,150,50,42.0866,0.12157,0.0316437,0.0272843,35000,-19926.3,-2038.39,0,0,35000,0,0,35
23,-10,0.8,4,3.48633,270,420,150,50,43.0578,0.115409,0.0319332,0.027478,35000,-20297.8,-2092.46,0,0,35000,0,0,35
24,-10,0.8,4,3.48633,270,420,150,50,44.0082,0.109716,0.0322131,0.0276674,35000,-20661.4,-2145.69,0,0,35000,0,0,35
25,-10,0.8,4,3.48633,270,420,150,50,44.9382,0.104446,0.0324837,0.0278526,35000,-21017.2,-2198.06,0,0,35000,0,0,35
26,-10,0.8,4,3.48633,270,420,150,50,45.8481,0.0995624,0.0327455,0.0280338,35000,-21365.2,-2249.56,0,0,35000,0,0,35
27,-10,0.8,4,3.48633,270,420,150,50,46.7381,0.0950302,0.0329988,0.0282111,35000,-21705.7,-2300.19,0,0,35000,0,0,35
28,-10,0.8,4,3.48633,270,420,150,50,47.6085,0.0908188,0.0332439,0.0283847,35000,-22038.7,-2349.94,0,0,35000,0,0,35
29,-10,0.8,4,3.48633,270,420,150,50,48.4597,0.0869003,0.0334812,0.0285546,35000,-22364.3,-2398.82,0,0,35000,0,0,35
30,-10,0.8,4,3.48633,270,420,150,50,49.2919,0.08325,0.0337109,0.0287209,35000,-22682.7,-2446.82,0,0,35000,0,0,35
31,-10,0.8,4,3.48633,270,420,150,50,50.1055,0.0798454,0.0339334,0.0288838,35000,-22993.9,-2493.93,0,0,35000,0,0,35
32,-10,0.8,4,3.48633,270,420,150,50,50.9007,0.0766663,0.0341488,0.0290433,35000,-23298.2,-2540.17,0,0,35000,0,0,35
33,-10,0.8,4,3.48633,270,420,150,50,51.6778,0.0736943,0.0343575,0.0291996,35000,-23595.5,-2585.53,0,0,35000,0,0,35
34,-10,0.8,4,3.48633,270,420,150,50,52.4372,0.0709128,0.0345596,0.0293528,35000,-23886,-2630.02,0,0,35000,0,0,35
35,-10,0.8,4,3.48633,270,420,150,50,53.1792,0.0683068,0.0347555,0.0295029,35000,-24169.8,-2673.63,0,0,35000,0,0,35
36,-10,0.8,4,3.48633,270,420,150,50,53.904,0.0658627,0.0349453,0.02965,35000,-24447.1,-2716.39,0,0,35000,0,0,35
37,-10,0.8,4,3.48633,270,420,150,50,54.612,0.063568,0.0351293,0.0297941,35000,-24718,-2758.28,0,0,35000,0,0,35
38,-10,0.8,4,3.48633,270,420,150,50,55.3035,0.0614115,0.0353077,0.0299355,35000,-24982.5,-2799.33,0,0,35000,0,0,35
39,-10,0.8,4,3.48633,270,420,150,50,55.9787,0.0593829,0.0354805,0.0300741,35000,-25240.8,-2839.53,0,0,35000,0,0,35
40,-10,0.8,4,3.48633,270,420,150,50,56.638,0.0574728,0.0356482,0.0302101,35000,-25493,-2878.89,0,0,35000,0,0,35
41,-10,0.8,4,3.48633,270,420,150,50,57.2817,0.0556725,0.0358107,0.0303434,35000,-25739.3,-2917.43,0,0,35000,0,0,35
42,-10,0.8,4,3.48633,270,420,150,50,57.9101,0.0539743,0.0359684,0.0304743,35000,-25979.7,-2955.15,0,0,35000,0,0,35
43,-10,0.8,4,3.48633,270,420,150,50,58.5235,0.052371,0.0361212,0.0306026,35000,-26214.3,-2992.06,0,0,35000,0,0,35
44,-10,0.8,4,3.48633,270,420,150,50,59.1221,0.0508559,0.0362695,0.0307285,35000,-26443.3,-3028.18,0,0,35000,0,0,35
45,-10,0.8,4,3.48633,270,420,150,50,59.7063,0.0494231,0.0364134,0.0308521,35000,-26666.8,-3063.5,0,0,35000,0,0,35
46,-10,0.8,4,3.48633,270,420,150,50,60.2763,0.0480669,0.0365529,0.0309734,35000,-26884.9,-3098.05,0,0,35000,0,0,35
47,-10,0.8,4,3.48633,270,420,150,50,60.8325,0.0467822,0.0366883,0.0310925,35000,-27097.7,-3131.83,0,0,35000,0,0,35
48,-10,0.8,4,3.48633,270,420,150,50,61.3751,0.0455644,0.0368196,0.0312093,35000,-27305.2,-3164.86,0,0,35000,0,0,35
49,-10,0.8,4,3.48633,270,420,150,50,61.9043,0.044409,0.0369471,0.0313241,35000,-27507.7,-3197.14,0,0,35000,0,0,35
50,-10,0.8,4,3.48633,270,420,150,50,62.4206,0.0433121,0.0370708,0.0314368,35000,-27705.2,-3228.69,0,0,35000,0,0,35
51,-10,0.8,4,3.48633,270,420,150,50,62.9241,0.04227,0.0371908,0.0315474,35000,-27897.9,-3259.51,0,0,35000,0,0,35
52,-10,0.8,4,3.48633,270,420,150,50,63.4152,0.0412793,0.0373073,0.0316561,35000,-28085.7,-3289.63,0,0,35000,0,0,35
53,-10,0.8,4,3.48633,270,420,150,50,63.894,0.0403367,0.0374203,0.0317629,35000,-28268.9,-3319.05,0,0,35000,0,0,35
54,-10,0.8,4,3.48633,270,420,150,50,64.3609,0.0394393,0.0375301,0.0318677,35000,-28447.5,-3347.78,0,0,35000,0,0,35
55,-10,0.8,4,3.48633,270,420,150,50,64.8161,0.0385845,0.0376366,0.0319707,35000,-28621.7,-3375.85,0,0,35000,0,0,35
56,-10,0.8,4,3.48633,270,420,150,50,65.2599,0.0377696,0.03774,0.0320719,35000,-28791.4,-3403.24,0,0,35000,0,0,35
57,-10,0.8,4,3.48633,270,420,150,50,65.6925,0.0369924,0.0378404,0.0321714,35000,-28956.9,-3430,0,0,35000,0,0,35
58,-10,0.8,4,3.48633,270,420,150,50,66.1142,0.0362506,0.0379378,0.0322691,35000,-29118.3,-3456.11,0,0,35000,0,0,35
59,-10,0.8,4,3.48633,270,420,150,50,66.5252,0.0355422,0.0380325,0.0323652,35000,-29275.5,-3481.6,0,0,35000,0,0,35
60,-10,0.8,4,3.48633,270,420,150,50,66.9258,0.0348653,0.0381243,0.0324596,35000,-29428.7,-3506.47,0,0,35000,0,0,35
61,-10,0.8,4,3.48633,270,420,150,50,67.3162,0.0342182,0.0382135,0.0325524,35000,-29578.1,-3530.74,0,0,35000,0,0,35
62,-10,0.8,4,3.48633,270,420,150,50,67.6966,0.0335992,0.0383001,0.0326436,35000,-29723.6,-3554.43,0,0,35000,0,0,35
63,-10,0.8,4,3.48633,270,420,150,50,68.0673,0.0330068,0.0383842,0.0327333,35000,-29865.4,-3577.53,0,0,35000,0,0,35
64,-10,0.8,4,3.48633,270,420,150,50,68.4284,0.0324395,0.0384659,0.0328215,35000,-30003.6,-3600.07,0,0,35000,0,0,35
65,-10,0.8,4,3.48633,270,420,150,50,68.7803,0.0318959,0.0385452,0.0329083,35000,-30138.2,-3622.05,0,0,35000,0,0,35
66,-10,0.8,4,3.48633,270,420,150,50,69.1231,0.0313749,0.0386222,0.0329935,35000,-30269.3,-3643.5,0,0,35000,0,0,35
67,-10,0.8,4,3.48633,270,420,150,50,69.4571,0.0308752,0.038697,0.0330774,35000,-30397.1,-3664.41,0,0,35000,0,0,35
68,-10,0.8,4,3.48633,270,420,150,50,69.7824,0.0303958,0.0387696,0.0331599,35000,-30521.5,-3684.8,0,0,35000,0,0,35
69,-10,0.8,4,3.48633,270,420,150,50,70.0992,0.0299356,0.0388402,0.0332411,35000,-30642.8,-3704.68,0,0,35000,0,0,35
70,-10,0.8,4,3.48633,270,420,150,50,70.4078,0.0294936,0.0389087,0.0333209,35000,-30760.8,-3724.06,0,0,35000,0,0,35
71,-10,0.8,4,3.48633,270,420,150,50,70.7084,0.0290689,0.0389753,0.0333994,35000,-30875.8,-3742.96,0,0,35000,0,0,35
72,-10,0.8,4,3.48633,270,420,150,50,71.0011,0.0286606,0.0390399,0.0334767,35000,-30987.8,-3761.37,0,0,35000,0,0,35
73,-10,0.8,4,3.48633,270,420,150,50,71.2862,0.028268,0.0391027,0.0335527,35000,-31096.9,-3779.33,0,0,35000,0,0,35
74,-10,0.8,4,3.48633,270,420,150,50,71.5638,0.0278903,0.0391637,0.0336275,35000,-31203.1,-3796.82,0,0,35000,0,0,35
75,-10,0.8,4,3.48633,270,420,150,50,71.8341,0.0275268,0.0392229,0.0337011,35000,-31306.5,-3813.87,0,0,35000,0,0,35
76,-10,0.8,4,3.48633,270,420,150,50,72.0973,0.0271767,0.0392805,0.0337736,35000,-31407.2,-3830.49,0,0,35000,0,0,35
77,-10,0.8,4,3.48633,270,420,150,50,72.3536,0.0268395,0.0393364,0.0338449,35000,-31505.2,-3846.68,0,0,35000,0,0,35
78,-10,0.8,4,3.48633,270,420,150,50,72.6031,0.0265146,0.0393907,0.0339151,35000,-31600.6,-3862.46,0,0,35000,0,0,35
79,-10,0.8,4,3.48633,270,420,150,50,72.846,0.0262013,0.0394434,0.0339842,35000,-31693.6,-3877.83,0,0,35000,0,0,35
80,-10,0.8,4,3.48633,270,420,150,50,73.0825,0.0258992,0.0394947,0.0340523,35000,-31784,-3892.8,0,0,35000,0,0,35
81,-10,0.8,4,3.48633,270,420,150,50,73.3127,0.0256078,0.0395445,0.0341192,35000,-31872.1,-3907.39,0,0,35000,0,0,35
82,-10,0.8,4,3.48633,270,420,150,50,73.5368,0.0253265,0.0395929,0.0341852,35000,-31957.8,-3921.6,0,0,35000,0,0,35
83,-10,0.8,4,3.48633,270,420,150,50,73.7549,0.0250549,0.0396399,0.0342501,35000,-32041.3,-3935.43,0,0,35000,0,0,35
84,-10,0.8,4,3.48633,270,420,150,50,73.9672,0.0247926,0.0396855,0.0343141,35000,-32122.5,-3948.91,0,0,35000,0,0,35
85,-10,0.8,4,3.48633,270,420,150,50,74.1739,0.0245392,0.0397299,0.034377,35000,-32201.6,-3962.04,0,0,35000,0,0,35
86,-10,0.8,4,3.48633,270,420,150,50,74.3751,0.0242943,0.039773,0.0344391,35000,-32278.5,-3974.83,0,0,35000,0,0,35
87,-10,0.8,4,3.48633,270,420,150,50,74.5708,0.0240574,0.0398149,0.0345001,35000,-32353.4,-3987.28,0,0,35000,0,0,35
88,-10,0.8,4,3.48633,270,420,150,50,74.7614,0.0238284,0.0398556,0.0345603,35000,-32426.3,-3999.4,0,0,35000,0,0,35
89,-10,0.8,4,3.48633,270,420,150,50,74.9468,0.0236068,0.0398951,0.0346196,35000,-32497.2,-4011.2,0,0,35000,0,0,35
90,-10,0.8,4,3.48633,270,420,150,50,75.1272,0.0233924,0.0399335,0.034678,35000,-32566.3,-4022.7,0,0,35000,0,0,35
91,-10,0.8,4,3.48633,270,420,150,50,75.3028,0.0231848,0.0399708,0.0347355,35000,-32633.4,-4033.89,0,0,35000,0,0,35
92,-10,0.8,4,3.48633,270,420,150,50,75.4737,0.0229838,0.0400071,0.0347922,35000,-32698.8,-4044.78,0,0,35000,0,0,35
93,-10,0.8,4,3.48633,270,420,150,50,75.64,0.022789,0.0400423,0.0348481,35000,-32762.4,-4055.39,0,0,35000,0,0,35
94,-10,0.8,4,3.48633,270,420,150,50,75.8018,0.0226003,0.0400766,0.0349031,35000,-32824.3,-4065.71,0,0,35000,0,0,35
95,-10,0.8,4,3.48633,270,420,150,50,75.9592,0.0224173,0.0401098,0.0349573,35000,-32884.6,-4075.76,0,0,35000,0,0,35
96,-10,0.8,4,3.48633,270,420,150,50,76.1124,0.02224,0.0401422,0.0350108,35000,-32943.2,-4085.55,0,0,35000,0,0,35
97,-10,0.8,4,3.48633,270,420,150,50,76.2614,0.0220679,0.0401736,0.0350635,35000,-33000.2,-4095.07,0,0,35000,0,0,35
98,-10,0.8,4,3.48633,270,420,150,50,76.4064,0.021901,0.0402041,0.0351154,35000,-33055.6,-4104.34,0,0,35000,0,0,35
99,-10,0.8,4,3.48633,270,420,150,50,76.5475,0.021739,0.0402338,0.0351666,35000,-33109.6,-4113.36,0,0,35000,0,0,35
100,-10,0.8,4,3.48633,270,420,150,50,76.6848,0.0215817,0.0402626,0.035217,35000,-33162.1,-4122.14,0,0,35000,0,0,35
101,-10,0.8,4,3.48633,270,420,150,50,76.8183,0.021429,0.0402906,0.0352668,35000,-33213.2,-4130.69,0,0,35000,0,0,35
102,-10,0.8,4,3.48633,270,420,150,50,76.9482,0.0212807,0.0403178,0.0353158,35000,-33262.9,-4139,0,0,35000,0,0,35
